,TIMESTAMP,PM2.5,PM10,TEMPERATURE,HUMIDITY,NO2,Ozone,WS,WD,SR
0,2025-07-01 14:00:00,16.0,19.5,25.8,80.75,13.93,23.85,1.11,175.39,66.42
1,2025-07-01 15:00:00,16.01,19.55,25.82,80.83,15.38,21.56,0.8,176.21,40.23
2,2025-07-01 16:00:00,16.02,19.6,25.84,80.9,12.55,16.89,0.91,162.93,49.1
3,2025-07-02 08:00:00,16.17,20.38,26.15,82.14,7.32,16.68,0.67,154.23,9.45
4,2025-07-02 09:00:00,16.18,20.43,26.17,82.21,8.34,16.46,0.83,148.5,26.13
5,2025-07-02 10:00:00,16.19,20.48,26.19,82.29,5.39,16.68,0.66,166.47,5.45
6,2025-07-02 14:00:00,16.22,20.68,26.26,82.6,2.75,15.65,0.49,123.14,26.27
7,2025-07-02 15:00:00,16.23,20.72,26.28,82.67,3.54,16.11,0.45,141.72,27.65
8,2025-07-02 17:00:00,16.25,20.82,26.32,82.83,4.61,16.37,0.56,128.9,4.0
9,2025-07-03 07:00:00,16.38,21.51,26.59,83.91,5.57,16.98,0.72,152.7,3.5
10,2025-07-03 08:00:00,16.39,21.56,26.61,83.98,7.07,17.43,0.77,153.2,25.9
11,2025-07-03 09:00:00,16.4,21.61,26.63,84.06,6.73,18.01,0.75,157.85,48.88
12,2025-07-03 10:00:00,16.41,21.65,26.65,84.14,9.18,17.94,0.67,151.52,150.0
13,2025-07-03 11:00:00,16.42,21.7,26.67,84.21,7.59,19.01,0.8,156.34,145.38
14,2025-07-03 12:00:00,16.43,21.75,26.69,84.29,7.54,20.19,1.15,177.15,376.65
15,2025-07-03 13:00:00,16.44,21.8,26.71,84.37,7.62,21.16,0.87,163.23,547.65
16,2025-07-03 14:00:00,16.45,21.85,26.73,84.45,6.48,21.71,0.71,150.21,336.62
17,2025-07-03 15:00:00,16.46,21.9,26.75,84.52,9.44,20.56,0.54,148.25,118.88
18,2025-07-03 16:00:00,16.47,21.95,26.76,84.6,7.53,19.15,0.56,137.4,53.62
19,2025-07-03 17:00:00,16.48,22.0,26.78,84.68,9.79,18.25,0.6,143.28,9.97
20,2025-07-03 18:00:00,16.48,22.05,26.8,84.75,8.89,16.83,0.57,133.68,7.9
21,2025-07-04 11:00:00,16.64,22.88,27.13,86.06,7.04,19.11,0.58,155.89,162.38
22,2025-07-04 12:00:00,16.65,22.93,27.15,86.14,4.89,20.28,0.77,164.37,244.78
23,2025-07-04 13:00:00,16.66,22.98,27.17,86.22,25.73,20.26,0.99,170.39,343.15
24,2025-07-04 14:00:00,16.67,23.03,27.19,86.29,15.14,19.58,0.65,142.91,43.72
25,2025-07-04 15:00:00,16.68,23.07,27.21,86.37,6.42,21.61,0.88,157.5,122.23
26,2025-07-04 16:00:00,16.69,23.12,27.23,86.45,5.63,22.46,0.8,155.7,136.4
27,2025-07-04 17:00:00,16.7,23.17,27.25,86.52,4.62,19.83,0.66,149.85,24.52
28,2025-07-04 18:00:00,16.71,23.22,27.27,86.6,6.81,17.61,0.52,154.25,0.4
29,2025-07-05 14:00:00,16.9,24.2,27.65,88.14,8.68,24.82,0.85,168.34,57.62
30,2025-07-05 15:00:00,16.9,24.25,27.67,88.22,7.38,23.55,0.98,168.29,63.47
31,2025-07-05 16:00:00,16.91,24.3,27.69,88.3,8.28,21.89,0.86,169.38,22.95
32,2025-07-05 17:00:00,16.92,24.35,27.71,88.37,9.55,20.55,0.84,165.93,35.27
33,2025-07-07 11:00:00,17.31,26.4,28.52,91.61,4.64,21.37,0.65,150.13,172.3
34,2025-07-07 12:00:00,17.32,26.45,28.54,91.68,5.07,21.61,0.81,168.78,72.05
35,2025-07-07 13:00:00,17.33,26.5,28.56,91.76,6.09,23.04,0.71,149.53,56.72
36,2025-07-07 14:00:00,17.34,26.55,28.58,91.84,4.27,24.84,0.85,164.05,40.17
37,2025-07-07 15:00:00,17.35,26.6,28.6,91.91,4.49,22.3,0.83,165.73,36.25
38,2025-07-07 16:00:00,17.36,26.65,28.62,91.99,4.45,21.36,0.95,161.33,1.2
39,2025-07-16 12:00:00,21.16,39.02,29.21,98.64,0.34,18.94,12.68,67.66,362.5
40,2025-07-16 13:00:00,17.61,29.56,29.67,95.26,3.6,23.29,16.5,44.89,452.6
41,2025-07-16 14:00:00,17.07,26.77,29.67,95.89,6.06,23.61,6.88,128.81,272.7
42,2025-07-16 15:00:00,16.5,26.56,29.2,97.68,10.58,17.42,1.99,171.62,297.62
43,2025-07-16 16:00:00,17.72,32.18,29.14,96.83,9.46,17.47,1.99,171.53,182.03
44,2025-07-16 17:00:00,18.32,31.23,28.9,97.75,14.01,17.02,2.01,171.67,66.2
45,2025-07-17 08:00:00,27.79,44.16,28.16,100.0,27.81,15.26,1.94,171.62,10.93
46,2025-07-17 09:00:00,20.28,34.04,28.84,98.07,28.86,15.75,1.96,171.58,45.5
47,2025-07-17 10:00:00,20.03,34.56,29.32,96.24,20.84,15.46,1.99,171.75,43.72
48,2025-07-17 11:00:00,20.32,35.55,29.62,94.35,20.23,16.39,1.94,171.25,120.02
49,2025-07-17 12:00:00,20.12,35.3,30.07,91.98,14.81,17.36,1.93,171.07,182.72
50,2025-07-17 13:00:00,19.84,35.54,30.49,90.29,16.09,19.41,1.92,170.91,133.0
51,2025-07-17 14:00:00,18.54,29.46,30.6,88.88,15.55,19.46,1.92,170.76,190.03
52,2025-07-17 15:00:00,18.17,30.29,30.47,89.97,12.8,19.56,1.91,170.67,156.18
53,2025-07-17 16:00:00,17.05,28.61,30.35,88.8,20.06,19.39,1.91,170.64,106.75
54,2025-07-17 17:00:00,18.14,28.75,29.87,90.02,18.75,19.02,1.91,170.6,7.8
55,2025-07-18 08:00:00,22.5,37.22,28.78,96.94,27.45,15.0,1.9,170.96,6.85
56,2025-07-18 09:00:00,17.15,26.55,29.75,91.79,23.53,15.87,1.9,170.9,19.35
57,2025-07-18 10:00:00,18.01,28.51,30.47,88.23,24.2,15.51,1.9,170.85,100.03
58,2025-07-18 11:00:00,16.49,28.12,30.56,87.29,17.89,16.52,1.91,170.78,369.35
59,2025-07-18 12:00:00,17.39,28.31,31.17,84.57,19.04,19.55,1.9,170.62,450.57
60,2025-07-18 13:00:00,17.79,27.33,31.35,82.85,14.23,20.78,1.9,170.58,381.78
61,2025-07-18 14:00:00,17.89,28.9,31.19,81.92,14.67,20.97,1.9,170.54,305.2
62,2025-07-18 15:00:00,17.81,29.49,30.58,84.16,12.04,19.34,1.9,170.52,156.97
63,2025-07-18 16:00:00,18.96,33.6,30.16,84.63,14.7,19.17,1.9,170.52,150.43
64,2025-07-18 17:00:00,20.19,38.7,29.81,85.53,17.24,19.24,1.9,170.52,49.63
65,2025-07-20 08:00:00,19.33,33.73,27.56,99.88,21.24,14.91,2.06,176.9,3.8
66,2025-07-20 09:00:00,19.73,31.56,28.28,99.4,23.42,15.32,2.08,178.56,27.3
67,2025-07-20 10:00:00,17.15,26.83,28.58,97.22,20.0,15.69,1.97,173.51,50.2
68,2025-07-20 11:00:00,16.34,25.73,28.09,98.82,16.04,16.36,2.15,181.45,39.32
69,2025-07-20 12:00:00,17.66,28.91,27.06,100.0,17.86,17.11,2.15,182.02,65.9
70,2025-07-20 13:00:00,19.67,32.62,27.31,100.0,16.89,16.73,2.14,182.06,49.0
71,2025-07-20 14:00:00,18.33,29.41,27.94,99.65,21.79,16.84,2.01,177.64,172.85
72,2025-07-20 15:00:00,18.13,27.03,28.09,98.33,16.79,16.73,1.95,173.09,128.0
73,2025-07-20 16:00:00,18.19,28.5,27.87,97.31,16.29,17.66,1.96,172.63,113.53
74,2025-07-20 17:00:00,18.26,29.97,27.65,96.29,15.98,17.76,1.98,172.9,17.5
75,2025-07-21 08:00:00,19.68,30.13,25.91,100.0,19.6,14.72,2.14,179.93,7.9
76,2025-07-21 09:00:00,19.34,28.41,26.11,100.0,18.47,15.14,2.13,179.85,62.55
77,2025-07-21 10:00:00,20.96,32.88,26.6,100.0,18.47,15.04,2.11,179.19,14.0
78,2025-07-21 11:00:00,28.24,45.52,27.08,100.0,20.78,15.43,2.03,176.6,107.9
79,2025-07-21 12:00:00,24.33,37.92,27.39,100.0,19.11,16.3,1.92,173.24,161.77
80,2025-07-21 13:00:00,20.16,30.71,27.13,100.0,15.71,17.42,1.92,173.28,27.0
81,2025-07-21 15:00:00,17.8,26.58,26.79,100.0,23.09,16.11,2.12,179.06,12.17
82,2025-07-21 16:00:00,22.99,38.73,26.72,100.0,25.92,15.7,2.06,177.18,1.2
83,2025-07-21 17:00:00,20.74,32.9,26.83,100.0,20.6,15.29,2.08,178.2,3.9
84,2025-07-23 11:00:00,27.69,45.03,25.81,100.0,22.92,15.39,2.15,180.76,42.8
85,2025-07-23 12:00:00,27.24,41.31,25.8,100.0,22.77,15.45,2.14,180.71,13.12
86,2025-07-23 13:00:00,25.74,41.31,25.93,100.0,12.36,16.41,2.13,180.0,4.3
87,2025-07-23 14:00:00,23.27,39.09,26.31,100.0,17.75,15.91,2.12,179.32,19.6
88,2025-07-24 08:00:00,22.62,39.01,26.74,100.0,30.59,14.12,2.13,181.27,18.3
89,2025-07-25 12:00:00,19.81,34.26,26.2,100.0,16.23,13.25,2.11,178.57,4.7
90,2025-07-26 13:00:00,19.78,32.54,27.1,100.0,11.53,20.27,1.99,173.31,145.0
91,2025-07-26 14:00:00,18.6,30.44,27.49,100.0,12.27,20.56,2.0,173.71,71.73
92,2025-07-26 15:00:00,17.24,30.31,27.36,100.0,14.38,18.72,1.99,173.61,32.93
93,2025-07-28 15:00:00,21.28,33.7,27.46,97.4,15.15,18.47,2.0,173.97,10.83
94,2025-07-28 16:00:00,20.92,33.12,27.82,95.17,13.57,20.39,1.98,173.55,22.88
95,2025-07-28 17:00:00,22.27,34.66,27.75,95.99,11.46,20.42,1.98,173.63,0.1
96,2025-07-29 08:00:00,21.6,33.23,27.09,96.71,15.05,19.04,2.0,174.16,0.6
97,2025-07-29 09:00:00,22.28,34.54,27.45,96.96,15.78,19.39,2.01,174.37,42.0
98,2025-07-29 10:00:00,22.52,34.58,28.01,92.75,16.17,20.32,1.99,173.69,128.88
99,2025-07-29 11:00:00,20.11,29.55,28.39,90.63,12.14,22.4,1.99,173.82,193.57
100,2025-07-29 12:00:00,20.97,32.9,28.5,90.81,14.81,21.08,1.98,173.87,99.2
101,2025-07-29 13:00:00,21.69,31.66,28.6,89.67,11.71,22.06,1.98,173.99,97.3
102,2025-07-29 14:00:00,19.62,28.3,28.11,92.23,15.75,21.32,2.0,174.06,39.38
103,2025-07-30 08:00:00,20.33,31.92,26.87,100.0,14.82,17.28,2.06,178.47,16.2
104,2025-07-30 09:00:00,21.46,35.4,27.18,100.0,13.56,17.45,2.05,177.1,12.0
105,2025-07-30 10:00:00,20.37,32.73,27.63,98.69,18.98,17.79,2.02,174.8,16.2
106,2025-07-30 11:00:00,25.53,42.77,27.96,96.74,10.91,20.19,2.01,174.33,66.47
107,2025-07-30 12:00:00,21.81,36.46,27.68,99.2,12.0,19.91,2.07,179.06,66.42
108,2025-07-30 13:00:00,19.75,29.9,27.98,96.62,14.1,20.27,2.03,175.32,56.22
109,2025-07-30 14:00:00,21.57,33.56,27.39,98.9,14.74,20.5,2.02,174.56,91.67
110,2025-07-30 15:00:00,20.57,32.55,27.28,99.99,16.29,17.91,2.05,176.85,14.05
111,2025-07-30 16:00:00,24.03,43.96,27.14,100.0,13.79,18.23,2.04,175.9,3.35
112,2025-07-31 08:00:00,19.91,31.69,27.44,98.45,14.83,17.31,2.08,180.64,1.65
113,2025-07-31 09:00:00,21.59,35.93,27.93,96.75,14.32,18.59,2.03,175.78,58.03
114,2025-07-31 10:00:00,22.47,36.58,28.4,94.02,10.47,19.45,2.03,175.6,45.67
115,2025-07-31 11:00:00,26.65,43.63,28.96,91.35,11.4,33.88,2.02,175.38,166.07
116,2025-07-31 12:00:00,25.9,43.05,29.03,90.93,9.33,14.28,2.02,175.53,154.72
117,2025-07-31 14:00:00,20.36,32.47,29.25,89.84,2.66,12.05,2.02,175.57,90.38
118,2025-07-31 15:00:00,29.01,48.18,29.24,89.22,13.74,10.81,2.0,175.34,308.45
119,2025-07-31 17:00:00,23.82,39.43,28.76,91.69,15.33,5.68,1.95,172.92,7.25
120,2025-08-01 08:00:00,22.81,36.29,28.14,95.38,18.05,5.71,1.9,172.16,3.65
121,2025-08-01 09:00:00,22.04,36.66,28.3,94.32,17.48,6.81,1.9,172.12,18.93
122,2025-08-01 10:00:00,21.83,36.31,28.68,93.19,18.29,8.38,1.9,172.07,47.47
123,2025-08-01 11:00:00,22.73,37.41,29.35,89.24,18.82,10.22,1.9,172.09,93.15
124,2025-08-01 12:00:00,37.01,64.3,29.84,86.41,19.12,12.53,1.9,172.04,282.48
125,2025-08-01 13:00:00,28.87,47.81,30.29,84.56,19.89,15.04,1.89,171.83,262.4
126,2025-08-01 14:00:00,21.46,31.76,30.16,84.74,17.12,16.26,1.89,171.83,333.9
127,2025-08-01 15:00:00,28.14,43.11,29.39,88.12,18.81,15.55,1.9,171.96,156.07
128,2025-08-01 16:00:00,38.17,70.19,28.84,92.14,17.17,11.79,1.91,172.37,13.27
129,2025-08-01 17:00:00,27.48,40.74,28.83,91.01,19.51,12.16,1.9,172.2,14.65
130,2025-08-02 08:00:00,21.03,32.89,27.29,99.78,8.25,2.92,1.99,175.08,2.9
131,2025-08-02 09:00:00,21.99,33.72,27.8,97.29,5.55,5.65,1.93,174.0,19.47
132,2025-08-02 10:00:00,21.96,33.63,28.82,92.04,7.28,6.06,1.93,173.58,139.15
133,2025-08-04 15:00:00,20.25,27.76,30.97,82.19,14.41,2.58,1.94,172.81,144.7
134,2025-08-04 16:00:00,19.88,28.26,30.29,83.55,35.33,2.54,1.95,172.66,83.12
135,2025-08-04 17:00:00,19.13,26.88,29.74,84.47,9.58,2.42,1.95,172.49,64.73
136,2025-08-05 08:00:00,30.57,42.53,27.76,99.18,6.85,1.95,2.02,172.94,1.7
137,2025-08-05 09:00:00,28.48,41.3,28.46,97.13,11.3,1.9,2.02,172.82,39.92
138,2025-08-05 10:00:00,25.02,36.56,28.9,92.36,8.67,2.01,2.02,172.63,128.07
139,2025-08-05 11:00:00,21.77,33.58,29.49,88.94,6.29,2.27,2.02,172.5,74.2
140,2025-08-05 12:00:00,21.78,32.93,30.32,87.43,11.29,2.41,2.02,172.45,66.07
141,2025-08-05 13:00:00,21.27,30.7,31.02,83.23,7.89,2.35,2.05,175.09,56.47
142,2025-08-05 14:00:00,21.32,30.32,31.13,81.35,9.73,2.62,2.11,179.9,134.38
143,2025-08-05 15:00:00,20.46,28.16,30.82,82.17,5.88,2.76,2.03,174.06,356.18
144,2025-08-05 16:00:00,20.88,30.28,30.14,85.46,10.2,3.18,2.04,173.46,238.2
145,2025-08-05 17:00:00,20.84,30.29,29.59,87.61,4.14,2.83,2.04,173.16,72.65
146,2025-08-05 18:00:00,27.28,40.6,29.11,90.24,4.23,2.38,2.03,172.75,0.4
147,2025-08-06 09:00:00,48.21,72.14,28.39,95.89,6.33,1.95,2.04,172.66,40.8
148,2025-08-06 10:00:00,46.27,69.68,28.4,95.26,12.46,2.11,2.04,172.55,31.0
149,2025-08-06 11:00:00,29.78,44.29,28.91,91.08,7.94,3.17,2.04,172.49,72.33
150,2025-08-06 12:00:00,41.08,59.87,28.97,92.7,10.02,3.65,2.04,172.39,117.62
151,2025-08-06 13:00:00,33.88,47.77,29.06,92.32,10.26,6.31,2.04,172.22,127.77
152,2025-08-06 14:00:00,30.17,44.0,29.37,90.46,10.38,3.0,2.04,172.22,188.8
153,2025-08-06 15:00:00,47.32,74.18,29.4,88.61,10.48,2.4,2.04,172.16,7.75
154,2025-08-06 16:00:00,45.64,70.52,28.86,91.42,10.17,2.75,2.03,172.07,18.5
155,2025-08-07 08:00:00,35.98,49.65,26.49,100.0,10.18,2.65,2.07,176.72,12.2
156,2025-08-07 09:00:00,32.28,44.9,26.28,100.0,10.26,2.7,2.03,174.01,20.95
157,2025-08-07 10:00:00,33.4,46.76,26.43,100.0,10.59,2.66,2.03,173.47,23.55
158,2025-08-07 11:00:00,26.22,40.13,26.41,100.0,10.37,2.59,2.04,173.07,49.45
159,2025-08-07 12:00:00,34.61,48.82,26.87,100.0,10.48,2.15,2.04,172.99,23.92
160,2025-08-07 13:00:00,26.61,40.05,27.77,98.32,10.46,2.22,2.04,173.03,274.8
161,2025-08-07 14:00:00,23.86,37.91,29.01,93.69,10.52,2.43,2.04,173.01,202.18
162,2025-08-07 15:00:00,32.9,44.91,29.43,92.01,10.26,2.73,2.04,172.8,193.43
163,2025-08-07 16:00:00,23.08,35.47,29.09,92.08,10.16,2.77,2.04,172.47,21.6
164,2025-08-07 17:00:00,21.59,32.33,28.8,92.53,10.48,2.42,2.03,172.3,13.43
165,2025-08-07 18:00:00,26.29,37.86,28.19,96.03,10.37,2.08,2.02,172.21,1.7
166,2025-08-08 09:00:00,27.06,43.4,27.4,100.0,10.3,1.91,2.02,172.08,37.3
167,2025-08-08 10:00:00,27.99,44.82,26.61,100.0,10.25,1.91,2.02,172.03,42.85
168,2025-08-09 08:00:00,45.32,70.8,26.59,100.0,10.34,1.64,1.99,175.47,32.1
169,2025-08-09 09:00:00,38.75,58.03,27.1,99.97,10.36,1.54,1.95,173.23,37.42
170,2025-08-09 10:00:00,38.91,59.99,28.06,98.45,10.31,1.79,1.95,172.75,110.85
171,2025-08-09 11:00:00,25.26,42.59,27.29,99.1,10.47,1.93,1.97,172.41,91.7
172,2025-08-09 12:00:00,25.68,44.76,27.28,100.0,10.65,1.74,2.0,173.52,27.7
173,2025-08-09 13:00:00,24.14,40.39,28.36,98.19,10.45,1.75,1.98,173.31,68.5
174,2025-08-09 14:00:00,20.2,32.39,29.51,90.28,10.22,1.81,1.98,173.03,151.0
175,2025-08-09 15:00:00,17.61,27.5,29.98,87.35,10.48,1.92,1.98,172.67,241.82
176,2025-08-09 16:00:00,20.29,30.39,29.35,89.84,10.49,2.32,2.0,172.45,143.15
177,2025-08-09 17:00:00,19.37,29.94,28.95,91.75,10.41,2.38,2.01,172.31,106.5
178,2025-08-10 08:00:00,28.09,46.78,26.66,100.0,10.34,1.59,1.98,172.54,7.22
179,2025-08-10 09:00:00,36.57,55.62,27.61,98.88,10.45,1.71,1.98,172.29,34.62
180,2025-08-10 10:00:00,36.19,56.38,27.83,99.77,10.34,1.71,1.98,172.24,84.3
181,2025-08-10 11:00:00,29.19,48.93,27.78,99.86,10.08,1.87,2.08,179.09,23.9
182,2025-08-10 12:00:00,20.91,34.76,28.91,92.77,10.38,1.83,2.04,175.45,338.98
183,2025-08-10 13:00:00,24.31,39.19,29.33,92.03,10.72,2.51,2.0,172.59,264.45
184,2025-08-10 14:00:00,17.04,25.87,29.14,90.2,10.27,2.37,2.0,172.34,35.35
185,2025-08-10 15:00:00,17.73,27.63,27.53,98.77,10.07,2.12,2.0,172.44,26.6
186,2025-08-11 08:00:00,26.45,45.0,27.19,100.0,10.12,1.62,1.99,173.34,1.4
187,2025-08-11 09:00:00,26.17,44.84,27.96,99.55,10.41,1.54,1.98,172.83,23.95
188,2025-08-11 10:00:00,18.5,29.17,28.98,93.08,10.39,1.83,1.98,172.51,54.75
189,2025-08-11 11:00:00,20.0,30.09,29.69,88.53,10.27,2.04,1.99,172.32,9.7
190,2025-08-11 12:00:00,21.43,34.81,30.4,86.09,9.98,4.56,2.0,173.02,165.57
191,2025-08-11 13:00:00,27.16,40.0,29.82,87.41,10.61,4.12,1.98,172.93,72.45
192,2025-08-11 14:00:00,21.98,32.46,30.01,85.18,10.28,3.2,1.97,172.78,203.82
193,2025-08-11 15:00:00,22.3,36.3,30.11,84.98,10.19,2.21,1.98,173.02,206.23
194,2025-08-11 16:00:00,24.74,36.89,29.44,88.23,10.14,2.75,2.04,175.05,77.0
195,2025-08-11 17:00:00,21.98,34.56,28.83,90.4,10.46,2.41,1.97,172.53,80.28
196,2025-08-12 12:00:00,32.62,44.71,29.57,87.49,14.73,1.71,2.09,179.67,15.6
197,2025-08-12 13:00:00,34.43,48.0,29.83,86.61,14.37,1.73,2.07,178.85,95.9
198,2025-08-12 14:00:00,32.04,44.88,29.35,88.5,14.12,2.07,1.94,173.54,124.15
199,2025-08-12 15:00:00,22.11,34.12,30.19,84.57,15.26,1.79,1.94,173.05,97.38
200,2025-08-12 16:00:00,21.66,33.15,29.49,86.9,14.77,1.76,1.94,172.84,43.6
201,2025-08-12 17:00:00,22.08,33.6,29.15,86.92,14.75,1.68,1.95,172.69,39.7
202,2025-08-13 09:00:00,31.7,45.47,26.66,100.0,10.11,0.85,2.07,178.76,17.53
203,2025-08-13 10:00:00,29.74,44.05,27.49,99.58,10.19,1.55,2.08,178.79,6.7
204,2025-08-13 11:00:00,23.29,33.75,27.83,98.12,10.34,3.79,2.08,179.26,79.28
205,2025-08-13 12:00:00,27.43,38.23,28.1,95.42,10.17,4.05,2.06,178.75,12.6
206,2025-08-13 13:00:00,26.7,38.66,27.49,95.15,10.21,3.62,2.06,178.5,13.02
207,2025-08-13 14:00:00,22.55,33.77,26.98,95.8,10.24,4.08,2.03,176.5,2.03
208,2025-08-14 10:00:00,23.74,36.4,25.34,100.0,10.5,4.41,2.05,177.02,25.55
209,2025-08-14 11:00:00,26.61,42.05,25.8,100.0,10.37,5.18,1.95,174.06,15.88
210,2025-08-14 12:00:00,29.6,45.23,26.17,100.0,10.49,5.49,1.93,173.68,122.7
211,2025-08-14 13:00:00,28.61,41.7,26.98,98.8,10.03,4.97,1.92,173.04,184.92
212,2025-08-14 14:00:00,38.28,57.26,27.79,96.41,10.34,6.04,1.92,172.67,324.23
213,2025-08-14 15:00:00,34.92,52.22,28.36,92.09,10.29,7.61,1.92,172.52,237.03
214,2025-08-14 16:00:00,30.38,44.24,28.03,93.52,10.26,9.51,1.94,172.39,136.97
215,2025-08-14 17:00:00,20.13,29.99,27.58,96.07,10.46,6.85,1.96,172.29,35.75
216,2025-08-18 09:00:00,20.91,27.56,25.44,100.0,10.53,5.84,2.08,179.1,2.2
217,2025-08-18 10:00:00,14.99,21.33,25.33,100.0,10.21,5.32,2.08,179.12,0.6
218,2025-08-18 11:00:00,13.89,21.03,25.17,100.0,10.41,7.59,2.08,178.66,1.3
219,2025-08-18 12:00:00,13.65,19.75,25.16,100.0,10.17,8.0,2.08,178.72,5.9
220,2025-08-19 13:00:00,16.32,22.62,25.75,100.0,10.13,10.08,2.08,177.98,1.83
221,2025-08-19 14:00:00,25.57,32.9,25.31,100.0,10.5,10.47,2.08,178.06,8.2
222,2025-08-20 10:00:00,19.86,31.89,25.89,100.0,10.13,12.55,2.1,179.3,1.5
223,2025-08-20 11:00:00,16.76,27.93,26.32,100.0,10.38,11.71,2.12,181.21,3.25
224,2025-08-20 12:00:00,22.67,35.73,26.67,99.85,10.19,10.74,2.1,180.32,14.15
225,2025-08-20 13:00:00,17.08,27.05,26.82,98.86,10.54,12.6,2.01,172.78,4.72
